config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
2_fold,0,1,0.5883,0.8436,0.921,0.3726
2_fold,0,2,0.5093,0.9378,0.9349,0.4113
2_fold,0,3,0.4742,0.946,0.9361,0.4399
2_fold,0,4,0.4464,0.9513,0.9429,0.4592
2_fold,0,5,0.4293,0.954,0.9416,0.4678
2_fold,0,6,0.4127,0.9566,0.9434,0.4807
2_fold,0,7,0.3986,0.9582,0.9455,0.4938
2_fold,0,8,0.3885,0.9599,0.947,0.4914
2_fold,0,9,0.3796,0.9607,0.9464,0.5025
2_fold,0,10,0.3716,0.962,0.9426,0.4936
2_fold,0,11,0.3632,0.9628,0.9471,0.5071
2_fold,0,12,0.3575,0.9637,0.946,0.5054
2_fold,0,13,0.3509,0.9643,0.9478,0.5063
2_fold,0,14,0.3451,0.9648,0.9472,0.5084
2_fold,0,15,0.3399,0.9654,0.947,0.5096
2_fold,0,16,0.336,0.966,0.9474,0.5122
2_fold,0,17,0.3313,0.9665,0.9465,0.5126
2_fold,0,18,0.3278,0.9669,0.9491,0.5199
2_fold,0,19,0.3238,0.9672,0.9462,0.512
2_fold,0,20,0.3204,0.9677,0.9491,0.5187
2_fold,0,21,0.318,0.968,0.9449,0.5139
2_fold,0,22,0.3146,0.9683,0.9468,0.5148
2_fold,0,23,0.3117,0.9686,0.9477,0.5208
2_fold,0,24,0.3092,0.9688,0.9457,0.5152
2_fold,0,25,0.308,0.9689,0.9472,0.5218
2_fold,0,26,0.3061,0.9694,0.9474,0.5165
2_fold,0,27,0.3016,0.9697,0.9456,0.5162
2_fold,0,28,0.3014,0.9696,0.9474,0.5199
2_fold,0,29,0.2977,0.9701,0.9482,0.5215
2_fold,0,30,0.2982,0.9699,0.9452,0.5143
2_fold,1,1,0.6005,0.8456,0.8924,0.3436
2_fold,1,2,0.5177,0.9372,0.9248,0.3962
2_fold,1,3,0.4785,0.9475,0.9285,0.4181
2_fold,1,4,0.4532,0.9525,0.9314,0.4272
2_fold,1,5,0.4346,0.9557,0.9351,0.4415
2_fold,1,6,0.418,0.958,0.9353,0.4471
2_fold,1,7,0.4073,0.9598,0.939,0.4555
2_fold,1,8,0.3959,0.9613,0.9358,0.4546
2_fold,1,9,0.3864,0.9625,0.9399,0.4605
2_fold,1,10,0.3782,0.9635,0.9389,0.466
2_fold,1,11,0.3695,0.9645,0.9417,0.4717
2_fold,1,12,0.3638,0.9649,0.9422,0.4672
2_fold,1,13,0.3587,0.9655,0.9403,0.4712
2_fold,1,14,0.3538,0.9663,0.9428,0.4772
2_fold,1,15,0.3492,0.9668,0.9421,0.4814
2_fold,1,16,0.3438,0.9672,0.9435,0.4822
2_fold,1,17,0.3394,0.9677,0.9396,0.472
2_fold,1,18,0.336,0.9679,0.9423,0.4837
2_fold,1,19,0.3316,0.9683,0.9429,0.4857
2_fold,1,20,0.3279,0.9685,0.9427,0.4901
2_fold,1,21,0.3253,0.969,0.9431,0.4875
2_fold,1,22,0.3223,0.9692,0.9422,0.487
2_fold,1,23,0.3198,0.9695,0.9424,0.4886
2_fold,1,24,0.3171,0.9697,0.9431,0.4924
2_fold,1,25,0.3145,0.97,0.9442,0.4954
2_fold,1,26,0.3117,0.9704,0.9426,0.4949
2_fold,1,27,0.3098,0.9704,0.9423,0.4934
2_fold,1,28,0.3078,0.9707,0.9429,0.4956
2_fold,1,29,0.3052,0.971,0.943,0.4955
2_fold,1,30,0.3042,0.9709,0.9428,0.4948
2_fold,1,31,0.3011,0.9712,0.9417,0.4937
2_fold,1,32,0.2997,0.9714,0.941,0.492
2_fold,1,33,0.2991,0.9715,0.9429,0.4984
2_fold,1,34,0.2956,0.9718,0.9412,0.4958
2_fold,1,35,0.2935,0.9721,0.9413,0.4956
2_fold,1,36,0.2935,0.9722,0.9423,0.4968
2_fold,1,37,0.2921,0.9723,0.9426,0.4975
2_fold,1,38,0.2898,0.9723,0.9446,0.5052
2_fold,1,39,0.2885,0.9725,0.9439,0.5013
2_fold,1,40,0.2877,0.9728,0.9439,0.5015
2_fold,1,41,0.2864,0.9727,0.9402,0.4941
2_fold,1,42,0.2849,0.973,0.9431,0.5022
2_fold,1,43,0.2834,0.9731,0.9425,0.4972
