Threshold,F1,Precision,Recall
0.0100,0.1876,0.1043,0.9344
0.0200,0.2022,0.1136,0.9216
0.0300,0.2121,0.1199,0.9146
0.0400,0.2195,0.1249,0.9084
0.0500,0.2257,0.1290,0.9032
0.0600,0.2308,0.1324,0.8988
0.0700,0.2354,0.1356,0.8945
0.0800,0.2397,0.1385,0.8909
0.0900,0.2437,0.1412,0.8874
0.1000,0.2472,0.1437,0.8841
0.1100,0.2504,0.1460,0.8811
0.1200,0.2536,0.1482,0.8783
0.1300,0.2566,0.1503,0.8758
0.1400,0.2594,0.1523,0.8735
0.1500,0.2620,0.1542,0.8708
0.1600,0.2646,0.1561,0.8689
0.1700,0.2672,0.1579,0.8669
0.1800,0.2697,0.1598,0.8648
0.1900,0.2721,0.1615,0.8625
0.2000,0.2744,0.1632,0.8606
0.2100,0.2767,0.1649,0.8590
0.2200,0.2791,0.1667,0.8572
0.2300,0.2811,0.1682,0.8553
0.2400,0.2833,0.1698,0.8533
0.2500,0.2853,0.1714,0.8518
0.2600,0.2874,0.1729,0.8501
0.2700,0.2893,0.1744,0.8481
0.2800,0.2911,0.1758,0.8463
0.2900,0.2930,0.1773,0.8446
0.3000,0.2950,0.1788,0.8427
0.3100,0.2968,0.1802,0.8409
0.3200,0.2986,0.1816,0.8393
0.3300,0.3005,0.1831,0.8377
0.3400,0.3022,0.1845,0.8358
0.3500,0.3041,0.1859,0.8340
0.3600,0.3059,0.1874,0.8321
0.3700,0.3077,0.1888,0.8304
0.3800,0.3093,0.1901,0.8283
0.3900,0.3110,0.1915,0.8265
0.4000,0.3127,0.1929,0.8248
0.4100,0.3143,0.1943,0.8230
0.4200,0.3160,0.1956,0.8210
0.4300,0.3177,0.1971,0.8190
0.4400,0.3196,0.1986,0.8175
0.4500,0.3214,0.2001,0.8157
0.4600,0.3233,0.2017,0.8141
0.4700,0.3252,0.2033,0.8123
0.4800,0.3271,0.2049,0.8105
0.4900,0.3288,0.2063,0.8088
0.5000,0.3305,0.2078,0.8066
0.5100,0.3323,0.2094,0.8046
0.5200,0.3342,0.2110,0.8026
0.5300,0.3360,0.2126,0.8006
0.5400,0.3378,0.2143,0.7984
0.5500,0.3397,0.2159,0.7963
0.5600,0.3417,0.2176,0.7949
0.5700,0.3436,0.2193,0.7929
0.5800,0.3455,0.2210,0.7910
0.5900,0.3479,0.2232,0.7892
0.6000,0.3500,0.2250,0.7873
0.6100,0.3522,0.2270,0.7854
0.6200,0.3543,0.2289,0.7831
0.6300,0.3565,0.2310,0.7810
0.6400,0.3586,0.2330,0.7783
0.6500,0.3608,0.2350,0.7762
0.6600,0.3631,0.2372,0.7736
0.6700,0.3653,0.2393,0.7712
0.6800,0.3677,0.2416,0.7686
0.6900,0.3702,0.2441,0.7663
0.7000,0.3731,0.2468,0.7642
0.7100,0.3757,0.2494,0.7614
0.7200,0.3785,0.2521,0.7591
0.7300,0.3813,0.2549,0.7561
0.7400,0.3843,0.2579,0.7532
0.7500,0.3871,0.2609,0.7503
0.7600,0.3899,0.2638,0.7468
0.7700,0.3928,0.2669,0.7430
0.7800,0.3961,0.2705,0.7392
0.7900,0.3997,0.2743,0.7360
0.8000,0.4031,0.2781,0.7320
0.8100,0.4069,0.2823,0.7282
0.8200,0.4111,0.2869,0.7244
0.8300,0.4153,0.2918,0.7202
0.8400,0.4194,0.2967,0.7150
0.8500,0.4239,0.3022,0.7097
0.8600,0.4285,0.3081,0.7031
0.8700,0.4335,0.3146,0.6971
0.8800,0.4390,0.3219,0.6901
0.8900,0.4448,0.3301,0.6816
0.9000,0.4520,0.3401,0.6736
0.9100,0.4597,0.3517,0.6635
0.9200,0.4681,0.3653,0.6514
0.9300,0.4781,0.3825,0.6373
0.9400,0.4891,0.4039,0.6197
0.9500,0.5033,0.4362,0.5948
0.9600,0.5226,0.4898,0.5602
0.9700,0.5351,0.5654,0.5078
0.9800,0.5099,0.6763,0.4092
0.9900,0.3643,0.8518,0.2317
